year,CHE,CHO,DZA,GAR,GOU,KRU,KTV,MAG,MKB,MRU,MYS,NDK,NIA,NYA,ODZ,OKP,PDJ,QEZ,RHR,SBR,SEL,SLW,TSV,sum over 1000,sum over 500,sum over 200,sum over 200x
2000,14,2,,,,,,,,,,,,6,,,,,,,,9,,0,9,25,25
2001,7,14,,,,3,,4,,,,,,15,,,,,,,,20,,0,20,44,44
2002,7,10,,,1,11,,2,,9,,,,2,,,,1,,60,,21,33,60,114,152,152
2003,4,3,,110,0,0,9,2,8,6,,5,,,2,20,2,,1,36,2,13,13,36,174,223,208
2004,3,5,,176,0,0,15,3,10,9,,4,,4,19,9,1,3,1,32,2,18,21,32,249,309,276
2005,3,16,8,77,0,1,2,3,2,5,4,3,,10,0,21,0,1,6,53,6,13,22,53,171,232,223
2006,3,7,1,32,0,0,2,2,,6,1,0,,,0,8,,2,8,39,33,25,25,39,154,187,186
2007,12,17,0,7,0,4,2,0,,2,20,0,7,3,35,11,,2,0,34,56,2,15,34,121,222,167
2008,1,6,17,4,0,0,9,2,4,5,29,1,15,12,9,5,0,0,0,95,66,7,23,95,210,270,227
2009,10,16,3,6,1,1,4,0,3,19,26,2,9,45,,18,7,3,1,85,47,6,52,85,205,302,271
2010,4,9,0,10,0,0,12,7,17,28,27,2,65,19,,13,0,4,16,77,108,26,55,77,341,457,411
2011,34,14,1,13,,1,25,15,27,63,18,4,76,13,119,37,9,17,34,155,143,14,65,155,466,817,649
2012,33,29,4,47,5,0,25,22,24,73,20,2,114,14,12,37,16,12,73,97,95,13,135,97,501,809,751
2013,36,2,41,16,2,0,8,30,20,33,6,0,66,8,1,7,4,11,45,99,87,15,133,99,416,568,541
2014,9,23,6,119,18,7,11,12,19,11,18,12,131,10,7,7,26,11,29,37,34,41,85,37,447,607,551
2015,12,10,13,98,130,30,25,12,19,2,16,,63,11,10,2,16,12,35,54,51,47,42,54,355,621,576
2016,7,0,7,97,40,46,15,8,47,3,9,17,92,4,22,8,13,5,10,58,12,50,37,58,346,555,460
2017,3,22,12,38,8,67,6,1,18,7,12,54,124,3,24,2,5,10,6,87,6,84,39,87,378,601,493
2018,2,38,9,4,4,72,1,3,16,8,,66,17,0,20,1,10,8,24,60,3,71,22,60,177,428,326
2019,4,2,5,9,0,30,1,2,17,11,,48,2,1,10,5,0,7,6,45,1,29,29,45,115,248,173