Month,trends
2006-01,34
2006-02,40
2006-03,40
2006-04,39
2006-05,38
2006-06,51
2006-07,36
2006-08,37
2006-09,33
2006-10,37
2006-11,30
2006-12,34
2007-01,33
2007-02,32
2007-03,37
2007-04,37
2007-05,35
2007-06,39
2007-07,34
2007-08,34
2007-09,31
2007-10,32
2007-11,32
2007-12,33
2008-01,35
2008-02,38
2008-03,31
2008-04,35
2008-05,36
2008-06,34
2008-07,37
2008-08,39
2008-09,38
2008-10,35
2008-11,38
2008-12,40
2009-01,45
2009-02,45
2009-03,45
2009-04,46
2009-05,41
2009-06,35
2009-07,35
2009-08,32
2009-09,35
2009-10,32
2009-11,34
2009-12,32
2010-01,40
2010-02,36
2010-03,36
2010-04,37
2010-05,39
2010-06,69
2010-07,33
2010-08,36
2010-09,37
2010-10,34
2010-11,36
2010-12,49
2011-01,53
2011-02,44
2011-03,50
2011-04,64
2011-05,42
2011-06,36
2011-07,39
2011-08,38
2011-09,35
2011-10,36
2011-11,38
2011-12,38
2012-01,47
2012-02,44
2012-03,41
2012-04,41
2012-05,39
2012-06,41
2012-07,40
2012-08,39
2012-09,37
2012-10,35
2012-11,40
2012-12,35
2013-01,43
2013-02,39
2013-03,42
2013-04,45
2013-05,41
2013-06,38
2013-07,41
2013-08,49
2013-09,46
2013-10,42
2013-11,45
2013-12,38
2014-01,42
2014-02,41
2014-03,43
2014-04,44
2014-05,46
2014-06,100
2014-07,43
2014-08,44
2014-09,52
2014-10,51
2014-11,44
2014-12,43
2015-01,42
2015-02,44
2015-03,42
2015-04,49
2015-05,51
2015-06,52
2015-07,54
2015-08,59
2015-09,69
2015-10,58
2015-11,62
2015-12,61
2016-01,56
2016-02,57
2016-03,67
2016-04,61
2016-05,55
2016-06,50
2016-07,48
2016-08,50
2016-09,65
2016-10,52
2016-11,62
2016-12,58
2017-01,55
2017-02,54
2017-03,55
2017-04,53
2017-05,50
2017-06,48
2017-07,46
2017-08,48
2017-09,46
2017-10,48
2017-11,59
2017-12,51